id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm17109,The Southerner,MOVIE,"Sam Tucker, a cotton picker, in search of a better future for his family, decides to grow his own cotton crop. In the first year, the Tuckers battle disease, a flood, and a jealous neighbor. Can they make it as farmers?",1945,,92,['drama'],['US'],,tt0038107,7.1,3443.0,3.753,6.3
tm108119,Hangmen Also Die!,MOVIE,"During the Nazi occupation of Czechoslovakia, surgeon Dr. Franticek Svoboda, a Czech patriot, assassinates the brutal ""Hangman of Europe"", Reichsprotektor Reinhard Heydrich, and is wounded in the process. In his attempt to escape, he is helped by history professor Stephen Novotny and his daughter Mascha.",1943,,134,"['thriller', 'war', 'drama']",['US'],,tt0035966,7.4,5442.0,6.772,7.0
tm52,A Farewell to Arms,MOVIE,"A tale of the World War I love affair, begun in Italy, between American ambulance driver Lt. Frederic Henry and British nurse Catherine Barkley. Eventually separated by Frederic's transfer, tremendous challenges and difficult decisions face each as the war rages on.",1932,PG,89,"['drama', 'romance', 'war']",['US'],,tt0022879,6.4,5970.0,7.581,6.3
tm97774,The Scarlet Letter,MOVIE,"In the seventeenth century, in Massachusetts, a young woman is forced to wear a scarlet ""A"" on her dress for bearing a child out of wedlock.",1934,G,69,"['drama', 'history', 'romance']",['US'],,tt0025747,5.3,367.0,1.666,4.0
tm8190,The Hunchback of Notre Dame,MOVIE,"In 15th century France, a gypsy girl is framed for murder by the infatuated Chief Justice, and only the deformed bellringer of Notre Dame Cathedral can save her.",1923,,113,"['horror', 'drama', 'romance']",['US'],,tt0014142,7.2,5387.0,5.431,6.5
tm53452,Tabu,MOVIE,"The youngsters Matahi and Reri are in love with each other. The old warrior Hitu announces that Reri is to be the new chosen virgin for the gods. This means she must stay untouched, otherwise she and her lover will be killed. But Matahi abducts and escapes with her to an island ruled by the white man, where their gods would be harmless and powerless.",1931,PG-13,86,"['drama', 'romance', 'action']",['US'],,tt0022458,7.4,5783.0,7.156,7.3
tm60168,The Big Lift,MOVIE,The Berlin Air Lift from the point of view of two NCOs.,1950,,120,"['drama', 'war']","['DE', 'US']",,tt0042249,6.5,1550.0,2.667,6.7
tm70223,Why We Fight: Prelude to War,MOVIE,"Prelude to War was the first film of Frank Capra's Why We Fight propaganda film series, commissioned by the Pentagon and George C. Marshall. It was made to convince American troops of the necessity of combating the Axis Powers during World War II. This film examines the differences between democratic and fascist states.",1942,,53,"['documentation', 'war']",['US'],,tt11089918,7.0,2194.0,3.877,6.6
tm60798,The Fighting Kentuckian,MOVIE,"John Breen (John Wayne), a Kentucky militiaman falls in love with French exile Fleurette De Marchand (Vera Ralston). He discovers a plot to steal the land that Fleurette's exiles plan to settle on and aims to foil it.",1949,,100,"['western', 'war', 'romance']",['US'],,tt0041361,6.4,3260.0,7.146,5.8
tm77319,Santa Fe Trail,MOVIE,"As a penalty for fighting fellow classmates days before graduating from West Point, J.E.B. Stuart, George Armstrong Custer and four friends are assigned to the 2nd Cavalry, stationed at Fort Leavenworth. While there they aid in the capture and execution of the abolitionist, John Brown following the Battle of Harper's Ferry.",1940,,110,"['western', 'war', 'drama', 'history', 'romance']",['US'],,tt0033021,6.2,3754.0,5.925,5.8
tm17383,Dick Tracy,MOVIE,Detective Tracy (Morgan Conway) rescues Tess Trueheart (Anne Jeffreys) and Junior from a killer called Splitface (Mike Mazurki).,1945,,61,"['action', 'crime', 'thriller', 'family']",['US'],,tt0037642,5.9,1380.0,2.627,5.1
tm50402,Woman on the Run,MOVIE,"Frank Johnson, a sole witness to a gangland murder, goes into hiding and is trailed by Police Inspector Ferris, on the theory that Frank is trying to escape from possible retaliation. Frank's wife, Eleanor, suspects he is actually running away from their unsuccessful marriage. Aided by a newspaperman, Danny Leggett, Eleanor sets out to locate her husband. The killer is also looking for him, and keeps close tabs on Eleanor.",1950,PG,77,"['drama', 'crime', 'thriller']",['US'],,tt0043142,7.2,3901.0,4.814,6.8
tm88502,Life with Father,MOVIE,A straitlaced turn-of-the-century father presides over a family of boys and the mother who really rules the roost.,1947,,118,"['comedy', 'family']",['US'],,tt0039566,7.1,5446.0,4.151,6.4
tm62593,Nothing Sacred,MOVIE,"When a small-town girl is diagnosed with a rare, deadly disease, an ambitious newspaper man turns her into a national heroine.",1937,,77,"['romance', 'drama', 'fantasy', 'comedy']",['US'],,tt0029322,6.9,6570.0,4.764,6.3
tm85417,Penny Serenade,MOVIE,"While listening to a recording of Penny Serenade, Julie Gardiner Adams begins reflecting on her past. She recalls her impulsive marriage to newspaper reporter Roger Adams, which begins on a deliriously happy note but turns out to be fraught with tragedy. Other songs remind her of their courtship, their marriage, their desire for a child, and the joys and sorrows they have shared. A flood of memories come back to her as she ponders on their present problems and how they arose.",1941,,119,"['romance', 'drama']",['US'],,tt0034012,7.1,7087.0,5.767,6.8
tm4525,He Walked by Night,MOVIE,"This film-noir piece, told in semi-documentary style, follows police on the hunt for a resourceful criminal who shoots and kills a cop.",1949,,79,"['thriller', 'crime']",['US'],,tt0040427,7.1,5943.0,5.253,6.7
tm5051,Algiers,MOVIE,"Pepe Le Moko is a notorious thief, who escaped from France. Since his escape, Moko became a resident and leader of the immense Casbah of Algiers. French officials arrive insisting on Pepe's capture are met with unfazed local detectives, led by Inspector Slimane, who are biding their time. Meanwhile, Pepe meets the beautiful Gaby , which arouses the jealousy of Ines",1938,,96,"['drama', 'romance']",['US'],,tt0029855,6.7,2803.0,2.472,6.7
tm7107,Louisiana Story,MOVIE,The idyllic life of a young Cajun boy and his pet raccoon is disrupted when the tranquility of the bayou is broken by an oil well drilling near his home.,1948,,78,['drama'],['US'],,tt0040550,6.6,1895.0,2.775,6.8
tm118203,Jack London,MOVIE,The adventurous and remarkable life of the US writer Jack London (1876-1916).,1943,,94,"['drama', 'war', 'romance']",['US'],,tt0036051,5.1,389.0,2.022,5.8
tm100333,Broken Blossoms,MOVIE,The love story of an abused English girl and a Chinese Buddhist in a time when London was a brutal and harsh place to live.,1919,PG-13,89,"['romance', 'drama']",['US'],,tt0166130,7.3,10230.0,6.012,6.9
tm109275,Dr. Jekyll and Mr. Hyde,MOVIE,A doctor's research into the roots of evil turns him into a hideous depraved fiend.,1920,,79,"['horror', 'scifi', 'drama']",['US'],,tt0011130,6.9,5367.0,8.16,7.0
tm142410,The Pleasure Garden,MOVIE,"Patsy Brand is a chorus girl at the Pleasure Garden music hall. She meets Jill Cheyne who is down on her luck and gets her a job as a dancer. Jill meets adventurer Hugh Fielding and they get engaged, but when Hugh travels out of the country, she begins to play around.",1925,,75,"['romance', 'drama']",['GB'],,tt0016230,5.8,2504.0,3.871,5.4
tm61613,Too Late for Tears,MOVIE,"One night on a lonely highway, a speeding car tosses a satchel of money, meant for somebody else, into Jane and Alan Palmer's back seat. Alan wants to turn it over to the police, but Jane persuades him to hang onto it 'for a while'. Soon, the Palmers are traced by one Danny Fuller, a sleazy character who claims the money is his.",1949,PG,99,"['crime', 'thriller', 'drama']",['US'],,tt0041968,7.3,4678.0,5.145,6.9
tm61597,Trapped,MOVIE,U.S. Treasury Department agents go after a ring of counterfeiters.,1949,,78,"['thriller', 'crime', 'drama']",['US'],,tt0041983,6.4,1352.0,2.876,5.8
tm131025,Mother,MOVIE,"A  story about a family torn apart by a worker's strike. At first, the mother wants to protect her family from the troublemakers, but eventually she realizes that her son is right and the workers should strike.",1926,,89,['drama'],['SU'],,tt0017128,7.5,2785.0,4.756,7.3
tm127199,Orphans of the Storm,MOVIE,"France, on the eve of the French Revolution. Henriette and Louise have been raised together as sisters. When the plague that takes their parents' lives causes Louise's blindness, they decide to travel to Paris in search of a cure, but they separate when a lustful aristocrat crosses their path.",1921,,150,"['drama', 'history', 'romance']",['US'],,tt0242584,7.3,5133.0,5.002,7.0
tm91719,Let There Be Light,MOVIE,"The final entry in a trilogy of films produced for the U.S. government by John Huston. Some returning combat veterans suffer scars that are more psychological than physical. This film follows patients and staff during their treatment. It deals with what would now be called PTSD, but at the time was categorised as psychoneurosis or shell-shock. Government officials deemed this 1946 film counterproductive to postwar efforts; it was not shown publicly until 1981.",1946,,58,"['war', 'documentation']",['US'],,tt0082649,7.4,1850.0,3.226,7.4
tm90549,The Red House,MOVIE,"An old man and his sister are concealing a terrible secret from their adopted teen daughter, concerning a hidden abandoned farmhouse, located deep in the woods.",1947,,100,"['thriller', 'horror', 'drama']",['US'],,tt0039757,6.8,4016.0,3.991,6.3
tm87103,Robin Hood,MOVIE,"Amid big-budget medieval pageantry, King Richard goes on the Crusades leaving his brother Prince John as regent, who promptly emerges as a cruel, grasping, treacherous tyrant. Apprised of England's peril by message from his lady-love Marian, the dashing Earl of Huntingdon endangers his life and honor by returning to oppose John, but finds himself and his friends outlawed, with Marian apparently dead. Enter Robin Hood, acrobatic champion of the oppressed, laboring to set things right through swashbuckling feats and cliffhanging perils!",1922,,133,"['romance', 'family']",['US'],,tt0013556,7.1,2219.0,2.426,6.3
tm72646,The Hurricane,MOVIE,"In the colonial era, island native Terangi (Jon Hall) spends a blissful honeymoon with his bride, Marama (Dorothy Lamour). Soon after, however, their relationship is torn asunder when Terangi is sent to prison for punching a prejudiced white man. Prominent members of the community -- including the governor's wife, Mme. De Laage (Mary Astor), petition the governor for clemency, but he refuses to budge. However, all pretense of law and order are soon shattered by an incoming tropical storm.",1937,,110,"['drama', 'romance', 'action']",['US'],,tt0029030,7.2,2595.0,2.85,7.0
tm348419,Payoff in the Pacific,MOVIE,A documentary on .S. efforts against the Japanese during the Second World War.,1945,,56,[],[],,,,,0.6,
tm3083,The Memphis Belle: A Story of a Flying Fortress,MOVIE,"This documentary centers on the crew of the B-17 Flying Fortress Memphis Belle as it prepares to execute a strategic bombing raid on sub-pens in Wilhelmshaven, Germany.",1944,,45,"['war', 'documentation', 'history']",['US'],,tt0036152,7.3,1646.0,2.497,6.7
tm17025,The Cat and the Canary,MOVIE,"Rich old Cyrus West's relatives are waiting for him to die so they can inherit. But he stipulates that his will be read 20 years after his death. On the appointed day his expectant heirs arrive at his brooding mansion. The will is read and it turns out that Annabelle West, the only heir with his name left, inherits, if she is deemed sane. If she isn't, the money and some diamonds go to someone else, whose name is in a sealed envelope. Before he can reveal the identity of her successor to Annabelle, Mr. Crosby, the lawyer, disappears. The first in a series of mysterious events, some of which point to Annabelle in fact being unstable.",1927,,108,"['comedy', 'thriller', 'horror']",['US'],,tt0017739,7.1,2981.0,5.109,7.0
tm113262,These Three,MOVIE,"Martha and Karen graduate from college and turn an old Massachusetts farm into a school for girls. The friends are aided in their venture by local doctor Joe Cardin, who begins a relationship with Karen, and a prominent woman whose granddaughter, Mary, later enrolls in the new school. Mary soon reveals herself to be a spiteful child and tells a scandalous lie about Martha and Joe that threatens to destroy the lives of all involved.",1936,,93,"['romance', 'drama']",['US'],,tt0028356,7.4,2705.0,3.913,7.3
